LatinName,CommonName,Family,Shape,HeightLow,HeightHigh,WidthLow,WidthHigh,WhorlsLow,WhorlsHigh,WhorlIncrease,Perforate,Umbilicate,Rimate,Imperforate,LipReflected,teeth,Flattened,Shouldered,ModShouldered,Rounded,Ovate,Slit,Lunate,Truncated,Sutures,Transverse,Spiral,Lirate,Ribs,Papillae,Puncta,Hairs,Blotches,Bands,Operculum,Eyes,Pedal,Flavor,SnailID,Notes,Pilsbry,Discoverer,HasImages
Glyphyalinia indentata,Carved Glyph,Zonitidae,Depressed Heliciform,,,4.7,5.7,4,4.5,,y,n,y,n,n,n,n,n,n,y,n,n,,n,,y,y,n,n,n,n,n,n,n,n,i,y,Sn,83,Indented transverse striae-- usually about 28. Umbilicus contained 25 to 30 times in diameter. Spiral striae fine.,,Say\123 1823,n
Glyphyalinia rhoadsi,Sculpted Glyph,Zonitidae,Depressed Heliciform,2.3,2.5,4.5,4.7,4,4,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,y,n,n,n,n,n,n,n,n,n,i,y,Sn,84,Transver striae are indented-- 38 to 45. Can see penultimate whorl in umbilicus. Umbilicus 7 times in diameter.,,Pilsbry\123 1899,n
Glyphyalinia wheatleyi,Bright Glyph,Zonitidae,Depressed Heliciform,1.9,2.2,3.5,5,5,5.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,y,y,n,n,n,n,n,n,n,n,i,y,Sn,85,Transverse striae indented. Spiral striae faint.,,Bland\123 1883,n
Mesomphix cupreus,Copper Button,Zonitidae,Depressed Heliciform,12.4,16,22,28.4,4.5,5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,86,Smooth surface. Coppery tint.,,Rafinesque\123 1831,n
Mesomphix inornatus,Plain Button,Zonitidae,Depressed Heliciform,8,11,16.5,21,4.5,5,,y,n,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,n,y,n,n,n,n,n,i,y,Sn,87,Papillae are closely arranged almost in a spiral striae.,,Say\123 1821,n
Mesomphix perlaevis,Smooth Button,Zonitidae,Depressed Heliciform,9.7,12.2,17.6,20.7,4.5,5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,y,n,n,n,n,n,n,n,n,n,i,y,Sn,88,coarser microsculpture with grooved ridges,,Pilsbry\123 1900,n
Nesovitrea binneyana,Blue Glass,Zonitidae,Depressed Heliciform,,,3.7,4.25,3.5,3.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,89,Separated from N. electrina by being smaller\123 its shell is white with greenish tint. Animal dark blue.,,Morse\123 1864,n
Nesovitrea electrina,Amber Glass,Zonitidae,Depressed Heliciform,2.5,2.8,4.6,5.2,4,4.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,y,y,n,n,n,n,n,n,n,n,i,y,Sn,90,Shell transparent with a faint yellow or green tint. Very dark animal.,,Gould\123 1841,n
Oxychilus alliarius,Garlic Glass,Zonitidae,Depressed Heliciform,,,5,6,4,4.5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,n,n,n,n,n,n,n,n,n,i,y,Sn,91,Growth wrinkles most pronounced at sutures. Gives off a scent of garlic when handled.,,Miller\123 1822,n
Oxychilus cellarius,Cellar Glass,Zonitidae,Depressed Heliciform,4.2,4.2,9,9,5,5,,n,y,n,n,n,n,n,n,n,y,n,n,y,n,,n,y,n,n,n,n,n,n,n,n,i,y,Sn,92,Umbilicus 6 times in diameter. Shell clear corneous with a faint amber or yellowish above\123 and whitish around umbilicus. Animal light gray\123 darker above\123 pale sole\123 and brown spots at mantle.,,Müller\123 1774,n
