species,common,family,author,status,states,native,shape,pupa,height,width,whorls,whorl_method,perforate,imperforate,umbilicate,rimate,lip_reflected,deflected,teeth,parietal,palatal,columellar,basal,ovate,lunate,slit,flattened,shouldered,moderately_shouldered,rounded,spiral_striae,lirate,axial_striae,axial_ridges,lamellar_ribs,wrinkles,malleations,papillae,puncta,hairs,blotches,bands,operculum,pedal,shell_color,notes
Novisuccinea ovalis,Oval Ambersnail,Succineidae,"(Say, 1817) ",G5,"NS,ON,QC,AR,CA,CT,DE,GA,IA,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,ND,NE,NH,NJ,NY,OH,OR,PA,RI,SC,SD,VT,WI,WV,IL,TN,VA,NB,NF",y,Succiniform,,"6,26",",","2.5,2.5",,,,,,n,,n,,,,,y,n,n,n,n,n,y,n,n,n,n,,,,n,n,n,n,n,n,n,,Spire is smaller than aperture. Genital aperture noticably swollen.
Oxyloma haydeni,Niobrara Ambersnail,Succineidae,"(W.G. Binney, 1858) ",G2G3,"AZ,NE,UT,WA,WY,AB,MB,NT",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Oxyloma retusum,Blunt Ambersnail,Succineidae,"(I. Lea, 1834) ",G5,"AB,NS,QC,CA,CT,IA,IL,IN,KS,KY,MA,ME,MI,MN,ND,NE,NH,NJ,NM,NY,OH,PA,SD,TN,UT,VA,VT,WI",y,Succiniform,,"7.5,20",",","2.5,4.5",,,,,,n,,n,,,,,y,n,n,n,,,,n,n,n,n,,,,n,n,n,n,n,n,n,,Oxyloma have spires smaller than aperture opening. Aperture is narrowly ovate.
Oxyloma sillimani,Humboldt Ambersnail,Succineidae,"(Bland, 1865) ",G2,"CA,NV,UT",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Succinea forsheyi,Spotted Ambersnail,Succineidae,"I.Lea, 1864 ",G4,"TN,TX,WI,AL,AR,FL,IA,IL,KS,KY,LA,MO,NC,NE,NM,OK",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Succinea grosvenori,Santa Rita Ambersnail,Succineidae,"I. Lea, 1864 ",G5,"UT,WY,AB,MB,NT,ON,SK,AL,AR,AZ,FL,KS,KY,LA,MO,MS,NM,OK,TN,TX",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Succinea indiana,Xeric Ambersnail,Succineidae,"Pilsbry, 1905 ",G5,"NJ,NY,OK,SC,SD,ON,AL,AR,DE,FL,GA,IN,KS,MD,ME,MO,NC,ND,NE",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Catinella gelida,none,Succineidae,"(F.C. Baker, 1927) ",G1,"IA,IL,IN,KY,MI,MO,MS,OH,SD,WI",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Catinella vermeta,Suboval Ambersnail,Succineidae,"(Say, 1829) ",G5,"AB,BC,NB,NF,NS,ON,QC,AL,AR,CA,FL,GA,IA,ID,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NC,ND,NH,NJ,NM,NY,OH,OK,PA,SC,TX,UT,VT,WA,WI,WV,IL,TN,VA",y,Succiniform,,"7,11","4,6.8","2.5,3.5",,,,,,,,n,,,,,n,,n,n,,,,n,n,n,n,,,,n,n,n,n,n,n,n,,Catinella species have spires almost as long as aperture.
Catinella wandae,Slope Ambersnail,Succineidae,"(Webb, 1953) ",G2,"AR,IA,KS,OK,WY",y,Succiniform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
Vallonia costata,Costate Vallonia,Valloniidae,"(Muller, 1774) ",G5,"OH,PA,SD,VA,WI,WV,ON,QC,CA,DE,IA,IL,IN,KY,MA,MD,ME,MI,MN,NC,NE,NJ,NY",y,Depressed Heliciform,,"2.5,3","1,1.2","3.5,3.5",,n,n,y,n,y,,n,,,,,n,,n,n,,,,y,n,n,y,,,,n,n,n,n,n,n,n,,
Vallonia cyclophorella,Silky Vallonia,Valloniidae,"Sterki, 1892 ",G5,"WI,WY,AB,BC,MB,ON,SK,AK,AZ,CA,CO,IA,ID,MT,ND,NM,OR,SD,TX,UT,VT,WA",y,Depressed Heliciform,,,,,,,,,,,,,,,,,,,,n,,,,,n,,,,,,,,,,,,,,
